gen,TP,MO,SR,TP_o,MO_o,SR_o
1,15.9755,4,4.5739,0.490796365079365,0.04470610069411033,0.6666666666666667
1,16.1336,4,4.5739,0.4933058888888889,0.04509325490020941,0.6666666666666667
1,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
1,8.8081,64,3.8642,0.5557371111111111,0.027084774195677935,0.0
1,8.8095,64,3.8736,0.5560413333333334,0.027080560570593576,0.0
1,8.8095,64,3.8736,0.5560413333333334,0.027080560570593576,0.0
1,7.0999,64,3.9806,0.5321148253968254,0.026018956860649593,0.0
1,8.6016,64,3.5273,0.5423523333333333,0.027158087159432343,0.0
1,10.0558,64,8.9162,0.7271018730158729,0.026122959301979838,0.0
1,14.3128,64,9.4771,0.8115003015873017,0.027078922770972968,0.0
1,22.8672,64,9.04,0.9341714285714287,0.02886407906979609,0.0
1,11.3894,64,3.0583,0.572533126984127,0.02904257401852119,0.0
1,11.3894,64,3.0583,0.572533126984127,0.02904257401852119,0.0
1,8.4557,64,3.0583,0.5259664603174603,0.027376471712892387,0.0
1,14.1258,64,1.1601,0.5590220476190476,0.036087954493758456,0.0
1,21.4031,64,2.8463,0.725120746031746,0.03380510532358359,0.0
1,9.4234,64,1.1572,0.4842937777777778,0.03147498737323089,0.0
1,11.3894,64,3.0583,0.572533126984127,0.02904257401852119,0.0
1,20.9469,64,4.8364,0.7775824761904762,0.030785861289761622,0.0
1,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
2,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
2,15.9755,4,4.5739,0.490796365079365,0.04470610069411033,0.6666666666666667
2,7.8447,16,4.5873,0.46213804761904764,0.02431467243013921,0.33333333333333337
2,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
2,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
2,8.6016,64,5.3893,0.5982123333333333,0.026376650244179605,0.0
2,8.8081,64,5.6958,0.6106851111111111,0.026377360926048615,0.0
2,7.0999,64,3.9806,0.5321148253968254,0.026018956860649593,0.0
2,10.0558,64,8.9162,0.7271018730158729,0.026122959301979838,0.0
2,11.1549,64,9.4357,0.7601329047619048,0.026337701549492075,0.0
2,14.3128,64,9.4771,0.8115003015873017,0.027078922770972968,0.0
2,7.3855,64,2.8463,0.5026191587301587,0.02676928894777227,0.0
2,14.1258,64,1.1601,0.5590220476190476,0.036087954493758456,0.0
2,21.4031,64,2.8463,0.725120746031746,0.03380510532358359,0.0
2,9.4234,64,1.1572,0.4842937777777778,0.03147498737323089,0.0
2,21.1082,64,1.1572,0.6697667936507936,0.04194708166423952,0.0
2,8.8081,64,3.8449,0.555158111111111,0.02709502769670722,0.0
2,11.3894,64,3.0583,0.572533126984127,0.02904257401852119,0.0
2,20.9469,64,4.8364,0.7775824761904762,0.030785861289761622,0.0
2,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
3,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
3,10.7018,4,4.5739,0.40708684126984124,0.031174859447154493,0.6666666666666667
3,7.8447,16,4.5873,0.46213804761904764,0.02431467243013921,0.33333333333333337
3,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
3,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
3,8.6016,64,5.3893,0.5982123333333333,0.026376650244179605,0.0
3,6.7551,64,2.8463,0.49261280952380954,0.026249354468756043,0.0
3,7.0999,64,3.9806,0.5321148253968254,0.026018956860649593,0.0
3,6.6732,64,9.4771,0.6902368095238095,0.024870892113963414,0.0
3,10.0558,64,8.9162,0.7271018730158729,0.026122959301979838,0.0
3,11.1549,64,9.4357,0.7601329047619048,0.026337701549492075,0.0
3,7.3855,64,2.8463,0.5026191587301587,0.02676928894777227,0.0
3,21.4031,64,9.308,0.9189717460317461,0.028514588705646188,0.0
3,9.4234,64,1.1572,0.4842937777777778,0.03147498737323089,0.0
3,7.6295,64,1.4323,0.4640721746031746,0.028636309268297525,0.0
3,8.8081,64,3.8449,0.555158111111111,0.02709502769670722,0.0
3,10.8419,64,2.8463,0.5574826507936508,0.028984778955982546,0.0
3,20.9469,64,4.8364,0.7775824761904762,0.030785861289761622,0.0
3,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
3,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
4,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
4,7.3036,4,4.5739,0.35314715873015873,0.021083774067129336,0.6666666666666667
4,7.8447,16,3.8901,0.4412220476190476,0.02495044571374121,0.33333333333333326
4,7.8447,16,4.5873,0.46213804761904764,0.02431467243013921,0.33333333333333337
4,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
4,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
4,7.1729,64,4.945,0.5622055555555556,0.02577439959588214,0.0
4,6.7551,64,2.8463,0.49261280952380954,0.026249354468756043,0.0
4,6.7551,64,9.0904,0.6799358095238095,0.024940591723296036,0.0
4,7.0999,64,3.9806,0.5321148253968254,0.026018956860649593,0.0
4,6.6732,64,9.4771,0.6902368095238095,0.024870892113963414,0.0
4,7.6295,64,1.5499,0.4676001746031746,0.028404375304507987,0.0
4,10.0558,64,8.9162,0.7271018730158729,0.026122959301979838,0.0
4,7.0999,64,4.181,0.5381268253968254,0.02595067055498363,0.0
4,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
4,10.8419,64,2.8463,0.5574826507936508,0.028984778955982546,0.0
4,8.6016,64,5.6103,0.6048423333333333,0.026312310470203947,0.0
4,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
4,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
4,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
5,7.4726,4,2.4934,0.2934146984126984,0.027921451359236224,0.6666666666666667
5,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
5,7.3036,4,4.5739,0.35314715873015873,0.021083774067129336,0.6666666666666667
5,7.6958,4,4.1905,0.3478705555555555,0.023159162431313513,0.6666666666666667
5,7.1640849113464355,4,1.5620964765548706,0.2605785278100816,0.03289038836815331,0.6666666666666667
5,7.8447,16,3.8901,0.4412220476190476,0.02495044571374121,0.33333333333333326
5,7.8447,16,4.5873,0.46213804761904764,0.02431467243013921,0.33333333333333337
5,8.0209,16,4.945,0.47566587301587304,0.02426023464458382,0.33333333333333337
5,7.1729,64,4.945,0.5622055555555556,0.02577439959588214,0.0
5,7.0963,64,3.96,0.5314396825396825,0.026023859004336073,0.0
5,6.7551,64,2.8463,0.49261280952380954,0.026249354468756043,0.0
5,6.7551,64,9.0904,0.6799358095238095,0.024940591723296036,0.0
5,6.6732,64,9.4771,0.6902368095238095,0.024870892113963414,0.0
5,7.6295,64,1.5499,0.4676001746031746,0.028404375304507987,0.0
5,7.3036,64,5.3562,0.5766161587301588,0.025747332254270564,0.0
5,7.4043,64,2.8195,0.5021135714285714,0.026801550072907854,0.0
5,10.8419,64,2.8463,0.5574826507936508,0.028984778955982546,0.0
5,18.3439,64,4.8364,0.736265015873016,0.030041659275624875,0.0
5,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
5,17.423,64,4.4968,0.7114595555555556,0.03004675282164641,0.0
6,7.1774,4,4.4968,0.3488309841269841,0.020783921668315327,0.6666666666666667
6,7.4726,4,4.5739,0.3558296984126984,0.021645744646824252,0.6666666666666667
6,7.3036,4,4.5739,0.35314715873015873,0.021083774067129336,0.6666666666666667
6,6.7657,4,2.8463,0.29278106349206345,0.022826459805650345,0.6666666666666667
6,7.1641,4,1.4846,0.258253873015873,0.03377182784632453,0.6666666666666666
6,7.277885437011719,4,1.751076340675354,0.2680542812839387,0.03184957519346205,0.6666666666666667
6,7.8447,16,3.8901,0.4412220476190476,0.02495044571374121,0.33333333333333326
6,7.6977,16,4.5739,0.4594027142857142,0.024134670161934924,0.33333333333333337
6,7.8447,16,4.5873,0.46213804761904764,0.02431467243013921,0.33333333333333337
6,7.1334,16,4.9733,0.4624275714285714,0.023118693087698525,0.33333333333333337
6,6.23886775970459,16,1.699045181274414,0.35000100241767035,0.02493868403683558,0.33333333333333337
6,7.0963,64,3.9259,0.5304166825396825,0.026036110456076206,0.0
6,6.7551,64,9.0904,0.6799358095238095,0.024940591723296036,0.0
